! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  0.500    NXO=  20    NYO=  20
!    DOWNWELLING FLUX:   Z=  0.500
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.300   0.500    0.93932E-02   0.32211E-01   0.97925E+00
   0.400   0.500    0.11034E-01   0.44887E-01   0.96396E+00
   0.500   0.500    0.13120E-01   0.64360E-01   0.94086E+00
   0.600   0.500    0.15503E-01   0.90006E-01   0.91016E+00
   0.700   0.500    0.17923E-01   0.11959E+00   0.87381E+00
   0.800   0.500    0.20041E-01   0.14940E+00   0.83572E+00
   0.900   0.500    0.21515E-01   0.17510E+00   0.80115E+00
   1.000   0.500    0.22083E-01   0.19289E+00   0.77534E+00
   1.100   0.500    0.21648E-01   0.20043E+00   0.76227E+00
   1.200   0.500    0.20296E-01   0.19700E+00   0.76395E+00
   1.300   0.500    0.18280E-01   0.18353E+00   0.78005E+00
   1.400   0.500    0.15934E-01   0.16221E+00   0.80795E+00
   1.500   0.500    0.13588E-01   0.13615E+00   0.84332E+00
   1.600   0.500    0.11493E-01   0.10879E+00   0.88088E+00
   1.700   0.500    0.97955E-02   0.83182E-01   0.91581E+00
   1.800   0.500    0.85473E-02   0.61455E-01   0.94475E+00
   1.900   0.500    0.77465E-02   0.44512E-01   0.96634E+00
   0.000   0.600    0.81514E-02   0.39504E-01   0.97281E+00
   0.100   0.600    0.84634E-02   0.31687E-01   0.98294E+00
   0.200   0.600    0.93911E-02   0.32503E-01   0.98176E+00
   0.300   0.600    0.10982E-01   0.41590E-01   0.97038E+00
   0.400   0.600    0.13253E-01   0.59457E-01   0.94875E+00
   0.500   0.600    0.16130E-01   0.86391E-01   0.91633E+00
   0.600   0.600    0.19400E-01   0.12115E+00   0.87378E+00
   0.700   0.600    0.22703E-01   0.16029E+00   0.82420E+00
   0.800   0.600    0.25579E-01   0.19864E+00   0.77320E+00
   0.900   0.600    0.27558E-01   0.23061E+00   0.72773E+00
   1.000   0.600    0.28290E-01   0.25184E+00   0.69438E+00
   1.100   0.600    0.27650E-01   0.26006E+00   0.67768E+00
   1.200   0.600    0.25767E-01   0.25487E+00   0.67985E+00
   1.300   0.600    0.22987E-01   0.23752E+00   0.70046E+00
   1.400   0.600    0.19771E-01   0.21045E+00   0.73666E+00
   1.500   0.600    0.16559E-01   0.17713E+00   0.78329E+00
   1.600   0.600    0.13698E-01   0.14166E+00   0.83378E+00
   1.700   0.600    0.11384E-01   0.10800E+00   0.88156E+00
   1.800   0.600    0.96884E-02   0.79110E-01   0.92177E+00
   1.900   0.600    0.86101E-02   0.56440E-01   0.95212E+00
   0.000   0.700    0.88800E-02   0.47254E-01   0.96418E+00
   0.100   0.700    0.93034E-02   0.37649E-01   0.97748E+00
   0.200   0.700    0.10515E-01   0.39155E-01   0.97592E+00
   0.300   0.700    0.12572E-01   0.51248E-01   0.96100E+00
   0.400   0.700    0.15492E-01   0.74459E-01   0.93275E+00
   0.500   0.700    0.19175E-01   0.10885E+00   0.89081E+00
   0.600   0.700    0.23342E-01   0.15234E+00   0.83651E+00
   0.700   0.700    0.27534E-01   0.20017E+00   0.77427E+00
   0.800   0.700    0.31155E-01   0.24560E+00   0.71148E+00
   0.900   0.700    0.33615E-01   0.28212E+00   0.65670E+00
   1.000   0.700    0.34486E-01   0.30535E+00   0.61716E+00
   1.100   0.700    0.33620E-01   0.31345E+00   0.59760E+00
   1.200   0.700    0.31196E-01   0.30658E+00   0.60012E+00
   1.300   0.700    0.27652E-01   0.28620E+00   0.62431E+00
   1.400   0.700    0.23564E-01   0.25466E+00   0.66736E+00
   1.500   0.700    0.19496E-01   0.21549E+00   0.72384E+00
   1.600   0.700    0.15871E-01   0.17308E+00   0.78620E+00
   1.700   0.700    0.12941E-01   0.13214E+00   0.84638E+00
   1.800   0.700    0.10797E-01   0.96499E-01   0.89781E+00
   1.900   0.700    0.94394E-02   0.68263E-01   0.93713E+00
   0.000   0.800    0.94838E-02   0.53891E-01   0.95642E+00
   0.100   0.800    0.10009E-01   0.42787E-01   0.97257E+00
   0.200   0.800    0.11475E-01   0.44961E-01   0.97067E+00
   0.300   0.800    0.13945E-01   0.59749E-01   0.95257E+00
   0.400   0.800    0.17436E-01   0.87625E-01   0.91850E+00
   0.500   0.800    0.21821E-01   0.12834E+00   0.86830E+00
   0.600   0.800    0.26764E-01   0.17898E+00   0.80408E+00
   0.700   0.800    0.31712E-01   0.23342E+00   0.73160E+00
   0.800   0.800    0.35960E-01   0.28371E+00   0.65984E+00
   0.900   0.800    0.38819E-01   0.32285E+00   0.59834E+00
   1.000   0.800    0.39789E-01   0.34671E+00   0.55463E+00
   1.100   0.800    0.38711E-01   0.35414E+00   0.53324E+00
   1.200   0.800    0.35809E-01   0.34588E+00   0.53600E+00
   1.300   0.800    0.31609E-01   0.32355E+00   0.56250E+00
   1.400   0.800    0.26784E-01   0.28926E+00   0.61018E+00
   1.500   0.800    0.21987E-01   0.24618E+00   0.67383E+00
   1.600   0.800    0.17713E-01   0.19879E+00   0.74542E+00
   1.700   0.800    0.14257E-01   0.15226E+00   0.81569E+00
   1.800   0.800    0.11727E-01   0.11118E+00   0.87665E+00
   1.900   0.800    0.10128E-01   0.78325E-01   0.92375E+00
   0.000   0.900    0.98830E-02   0.58375E-01   0.95101E+00
   0.100   0.900    0.10480E-01   0.46274E-01   0.96913E+00
   0.200   0.900    0.12124E-01   0.48939E-01   0.96700E+00
   0.300   0.900    0.14880E-01   0.65599E-01   0.94669E+00
   0.400   0.900    0.18764E-01   0.96666E-01   0.90860E+00
   0.500   0.900    0.23629E-01   0.14161E+00   0.85281E+00
   0.600   0.900    0.29100E-01   0.19685E+00   0.78202E+00
   0.700   0.900    0.34553E-01   0.25526E+00   0.70307E+00
   0.800   0.900    0.39220E-01   0.30823E+00   0.62581E+00
   0.900   0.900    0.42335E-01   0.34846E+00   0.56046E+00
   1.000   0.900    0.43359E-01   0.37223E+00   0.51451E+00
   1.100   0.900    0.42129E-01   0.37896E+00   0.49214E+00
   1.200   0.900    0.38900E-01   0.36983E+00   0.49500E+00
   1.300   0.900    0.34256E-01   0.34649E+00   0.52273E+00
   1.400   0.900    0.28941E-01   0.31086E+00   0.57299E+00
   1.500   0.900    0.23656E-01   0.26573E+00   0.64080E+00
   1.600   0.900    0.18947E-01   0.21548E+00   0.71802E+00
   1.700   0.900    0.15136E-01   0.16553E+00   0.79478E+00
   1.800   0.900    0.12346E-01   0.12098E+00   0.86206E+00
   1.900   0.900    0.10584E-01   0.85082E-01   0.91446E+00
   0.000   1.000    0.10023E-01   0.59963E-01   0.94906E+00
   0.100   1.000    0.10646E-01   0.47511E-01   0.96789E+00
   0.200   1.000    0.12354E-01   0.50357E-01   0.96568E+00
   0.300   1.000    0.15213E-01   0.67693E-01   0.94458E+00
   0.400   1.000    0.19236E-01   0.99891E-01   0.90504E+00
   0.500   1.000    0.24271E-01   0.14630E+00   0.84730E+00
   0.600   1.000    0.29928E-01   0.20311E+00   0.77423E+00
   0.700   1.000    0.35561E-01   0.26286E+00   0.69302E+00
   0.800   1.000    0.40374E-01   0.31666E+00   0.61394E+00
   0.900   1.000    0.43577E-01   0.35715E+00   0.54735E+00
   1.000   1.000    0.44621E-01   0.38079E+00   0.50070E+00
   1.100   1.000    0.43333E-01   0.38722E+00   0.47811E+00
